date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
20210301,0.1178,0.1104,0.2756,0.2542
20210302,0.0241,0.02,0.0923,0.0849
20210303,0.0282,0.0236,0.1261,0.0873
20210304,0.0056,0.0025,0.1404,0.0328
20210305,0.0157,0.0128,0.115,0.1122
20210306,0.0739,0.0517,0.211,0.158
20210307,0.0545,0.0442,0.2019,0.1559
20210308,0.1437,0.1337,0.5117,0.4603
20210309,0.0111,0.0043,0.2095,0.0469
20210310,0.1011,0.0824,0.4318,0.3632
20210311,0.0127,0.0083,0.1442,0.0475
20210312,0.0064,0.001,0.2058,0.0176
20210313,0.0017,0.0013,0.0281,0.0234
20210314,0.0075,0.0027,0.2099,0.0569
20210315,0.2274,0.1967,1.1829,1.0758
20210316,0.3995,0.3238,1.5974,1.3766
20210317,0.2013,0.1311,1.1987,0.9321
20210318,0.237,0.1914,1.0449,0.9102
20210319,0.0629,0.0482,0.3101,0.2471
20210320,0.1912,0.1644,0.4286,0.366
20210321,0.296,0.2698,0.5915,0.5627
20210322,0.0198,0.0075,0.244,0.0616
20210323,0.0107,0.0053,0.1124,0.0499
20210324,0.0023,0.0019,0.0448,0.0418
20210325,0.0052,0.0034,0.0724,0.0374
20210326,0.1298,0.113,0.3689,0.3088
20210327,0.0353,0.0203,0.3723,0.1137
20210328,0.0032,0.0018,0.1454,0.0367
20210329,0.0015,0.0009,0.0289,0.0192
20210330,0.5962,0.479,2.3571,1.9847
20210331,0.0294,0.0197,0.4081,0.2404
20210401,0.4149,0.366,1.3503,1.2201
20210402,0.1643,0.138,0.4633,0.3665
20210403,0.1034,0.0833,0.4589,0.2379
20210404,0.0353,0.0259,0.2043,0.1415
20210405,0.0122,0.0084,0.0763,0.0661
20210406,0.1683,0.1608,0.4683,0.4213
20210407,0.2923,0.2803,0.5805,0.5485
20210408,0.0357,0.0154,0.2239,0.1242
20210409,0.0069,0.0046,0.0867,0.0663
20210410,0.106,0.0874,0.37,0.3141
20210411,0.0474,0.0402,0.3172,0.2125
20210412,0.0721,0.0641,0.3426,0.3208
20210413,0.0519,0.0356,0.4516,0.1619
20210414,0.1232,0.0916,0.6715,0.289
20210415,0.0424,0.0274,0.1854,0.1196
20210416,0.2625,0.2423,0.7449,0.663
20210417,0.0235,0.0184,0.0942,0.0739
20210418,0.0861,0.0741,0.3321,0.2447
20210419,0.04,0.026,0.4033,0.2089
20210420,0.2324,0.201,0.7291,0.6546
20210421,0.1001,0.0818,0.5321,0.4621
20210422,0.0037,0.003,0.035,0.0289
20210423,0.1451,0.1153,0.8944,0.7534
20210424,0.499,0.406,1.4598,1.1767
20210425,0.1244,0.097,0.3255,0.2783
20210426,0.1374,0.1124,0.3882,0.3496
20210427,0.0191,0.0097,0.1574,0.0936
20210428,0.1436,0.0807,0.6798,0.5092
20210429,0.0041,0.0011,0.1434,0.0289
20210430,0.001,0.0008,0.0232,0.0223
20210501,0.0018,0.0004,0.1742,0.0121
20210502,0.1384,0.1183,1.9853,1.9135
20210503,1.1713,1.0868,4.0343,3.591
20210504,0.0597,0.0338,0.5331,0.3951
20210505,0.3905,0.3691,1.2436,1.2139
20210506,0.4739,0.4265,1.1434,1.0703
20210507,0.0708,0.041,0.2961,0.2064
20210508,0.0028,0.002,0.0375,0.0248
20210509,0.0403,0.0104,0.8479,0.2257
20210510,0.2952,0.193,1.4461,1.1036
20210511,0.3924,0.3078,1.4714,1.2894
20210512,0.0423,0.0263,0.2431,0.2008
20210513,0.466,0.3778,1.8859,1.626
20210514,0.475,0.3818,2.0589,1.8772
20210515,0.8567,0.7378,3.2203,2.7761
20210516,0.3098,0.2658,1.0208,0.8861
20210517,0.0592,0.0395,0.2927,0.2025
20210518,0.0873,0.071,0.3125,0.2721
20210519,0.1145,0.0965,0.5052,0.4616
20210520,0.0124,0.006,0.1161,0.0546
20210521,0.0118,0.0083,0.1151,0.0772
20210522,0.1853,0.1338,0.9987,0.6721
20210523,0.2871,0.2415,0.9741,0.7215
20210524,0.0908,0.0686,0.2827,0.2278
20210525,0.0684,0.0635,0.2573,0.2434
20210526,0.2977,0.2843,0.7442,0.7009
20210527,0.0082,0.0046,0.0852,0.0472
20210528,0.0288,0.0222,0.1731,0.1296
20210529,0.2199,0.1644,0.8031,0.6751
20210530,0.0116,0.0046,0.1212,0.0364
20210531,0.0216,0.0193,0.4934,0.4874
20210601,0.0553,0.0347,0.6779,0.5708
20210602,0.1182,0.0783,0.4923,0.4041
20210603,0.484,0.4113,1.1992,1.0195
20210604,0.0076,0.0029,0.124,0.0356
20210605,0.0081,0.0008,0.3687,0.0155
20210606,0.001,0.0007,0.0461,0.0431
20210607,0.0011,0.0008,0.0252,0.0195
20210608,0.0175,0.0113,0.4029,0.3827
20210609,0.4009,0.3659,0.9454,0.886
20210610,0.1498,0.1234,0.6716,0.5637
20210611,0.1297,0.1067,0.7733,0.7246
20210612,0.165,0.1302,0.7174,0.5696
20210613,0.0255,0.0157,0.3637,0.3034
20210614,0.0039,0.0021,0.1541,0.1327
20210615,0.0384,0.0145,0.4728,0.3085
20210616,0.0424,0.0146,0.6757,0.3065
20210617,0.4523,0.2781,2.4495,1.8122
20210618,0.7802,0.7062,2.6827,2.4245
20210619,0.4389,0.384,1.5531,1.458
20210620,0.1695,0.1291,1.0308,0.833
20210621,0.0221,0.0141,0.2356,0.2094
20210622,0.0006,0.0006,0.009,0.0087
20210623,0.0014,0.0011,0.0333,0.0301
20210624,0.0431,0.0234,0.2934,0.2173
20210625,0.1794,0.1144,1.0098,0.7609
20210626,0.168,0.1423,0.9049,0.8239
20210627,0.8148,0.6508,3.0652,2.7096
20210628,0.7438,0.5273,3.1358,2.607
20210629,0.671,0.3903,2.9656,2.043
20210630,0.4413,0.2412,2.2482,1.5386
20210701,0.702,0.5047,2.9302,2.4489
20210702,0.511,0.4224,1.5162,1.2648
20210703,0.2433,0.1904,0.9253,0.7814
20210704,0.2111,0.1697,0.8762,0.7657
20210705,1.0396,0.8124,3.0937,2.5109
20210706,0.4778,0.3301,1.9894,1.6011
20210707,0.8775,0.6425,3.6515,2.8439
20210708,0.9323,0.7173,3.568,2.9416
20210709,0.1821,0.1227,1.1643,0.8171
20210710,0.1725,0.1358,1.1729,0.8585
20210711,0.4937,0.4321,1.9966,1.7939
20210712,0.5568,0.4475,2.5472,2.2217
20210713,0.0085,0.0046,0.2326,0.196
20210714,0.0025,0.0015,0.0881,0.0368
20210715,0.1118,0.0785,1.2867,1.0646
20210716,1.1826,0.9037,3.9201,3.1045
20210717,0.7115,0.5775,2.898,2.5023
20210718,0.362,0.2188,2.2455,1.8422
20210719,0.8633,0.5443,3.8604,2.8887
20210720,0.3342,0.1496,2.6617,1.2941
20210721,0.311,0.1821,1.7689,1.3466
20210722,0.0779,0.056,0.9482,0.8921
20210723,0.1541,0.0987,1.5082,1.1535
20210724,0.1583,0.0774,1.3803,0.8761
20210725,0.1262,0.0726,1.2552,0.9796
20210726,0.1381,0.0862,1.5988,1.2637
20210727,0.4663,0.2909,2.6876,2.2028
20210728,0.2928,0.1646,1.6994,1.3395
20210729,0.0673,0.0415,0.9084,0.7266
20210730,0.0282,0.0174,0.5131,0.4191
20210731,0.013,0.0102,0.414,0.4055
