date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030100,0.1988,0.2011,0.2901,0.2949
2021030101,0.2501,0.2298,0.3664,0.3361
2021030102,0.2828,0.2944,0.4115,0.4323
2021030103,0.2569,0.2933,0.3501,0.4196
2021030104,0.2612,0.2487,0.4442,0.4242
2021030105,0.1701,0.1641,0.2796,0.2556
2021030106,0.1821,0.1875,0.3121,0.3203
2021030107,0.1668,0.1524,0.3351,0.2591
2021030108,0.1447,0.1394,0.243,0.2419
2021030109,0.1794,0.1777,0.3279,0.3302
2021030110,0.1101,0.1075,0.1881,0.1845
2021030111,0.1499,0.1373,0.3318,0.3324
2021030112,0.0954,0.0804,0.2217,0.2033
2021030113,0.1228,0.1045,0.3287,0.3239
2021030114,0.0409,0.0269,0.1442,0.1245
2021030115,0.043,0.0285,0.1436,0.126
2021030116,0.0335,0.013,0.1281,0.0455
2021030117,0.0195,0.0147,0.0888,0.0861
2021030118,0.0205,0.0149,0.062,0.057
2021030119,0.013,0.0072,0.0567,0.046
2021030120,0.0111,0.0088,0.0404,0.038
2021030121,0.0171,0.0166,0.1041,0.1052
2021030122,0.0148,0.0141,0.0942,0.0958
2021030123,0.0249,0.0115,0.1607,0.0606
2021030200,0.01,0.0104,0.0435,0.0481
2021030201,0.0077,0.0075,0.0542,0.0558
2021030202,0.0087,0.0081,0.0554,0.0544
2021030203,0.0145,0.0051,0.0529,0.0236
2021030204,0.0169,0.0111,0.0481,0.0357
2021030205,0.0166,0.009,0.0576,0.0319
2021030206,0.022,0.0165,0.069,0.0586
2021030207,0.0173,0.012,0.0551,0.0394
2021030208,0.021,0.0178,0.0569,0.0518
2021030209,0.0254,0.022,0.0612,0.0572
2021030210,0.0477,0.0365,0.0997,0.0816
2021030211,0.0546,0.0492,0.1256,0.1224
2021030212,0.016,0.0131,0.0547,0.042
2021030213,0.0115,0.0113,0.0412,0.041
2021030214,0.0331,0.0315,0.1628,0.1624
2021030215,0.0385,0.0296,0.1497,0.1246
2021030216,0.0197,0.0161,0.0867,0.0844
2021030217,0.0421,0.0366,0.1561,0.1525
2021030218,0.0236,0.023,0.0967,0.0963
2021030219,0.0358,0.0339,0.1125,0.1109
2021030220,0.0426,0.0398,0.0995,0.0948
2021030221,0.0215,0.0221,0.0772,0.0831
2021030222,0.0359,0.0346,0.1245,0.117
2021030223,0.0215,0.023,0.0862,0.0791
2021030300,0.0583,0.0589,0.1496,0.1496
2021030301,0.0956,0.0922,0.2187,0.216
2021030302,0.092,0.0895,0.1921,0.1868
2021030303,0.0746,0.0732,0.1257,0.125
2021030304,0.091,0.0845,0.1476,0.1398
2021030305,0.0798,0.0634,0.1392,0.116
2021030306,0.0509,0.0447,0.0893,0.0799
2021030307,0.0238,0.0203,0.095,0.0933
2021030308,0.0099,0.006,0.0325,0.0229
2021030309,0.0151,0.0107,0.0446,0.0333
2021030310,0.0309,0.0071,0.201,0.0445
2021030311,0.0069,0.0047,0.0346,0.033
2021030312,0.0163,0.0126,0.0994,0.0921
2021030313,0.0085,0.0049,0.0449,0.0283
2021030314,0.0117,0.0052,0.0712,0.0238
2021030315,0.0262,0.0061,0.1472,0.0438
2021030316,0.0036,0.0028,0.0202,0.0181
2021030317,0.0012,0.0009,0.0096,0.0078
2021030318,0.0039,0.0036,0.0433,0.0429
2021030319,0.0012,0.0008,0.0105,0.0066
2021030320,0.0005,0.0005,0.0071,0.0071
2021030321,0,0,0,0
2021030322,0.0005,0.0003,0.0071,0.0046
2021030323,0.0002,0.0001,0.0019,0.0012
2021030400,0.0005,0.0005,0.0071,0.0071
2021030401,0.0013,0.0009,0.0089,0.0057
2021030402,0.0008,0.0005,0.0076,0.0045
2021030403,0.0018,0.0015,0.0156,0.0148
2021030404,0.0023,0.0018,0.0144,0.012
2021030405,0.0016,0.0012,0.0131,0.0099
2021030406,0.0035,0.0025,0.0207,0.0146
2021030407,0.0061,0.0046,0.0248,0.0192
2021030408,0.0033,0.0025,0.0202,0.0152
2021030409,0.0046,0.0038,0.0222,0.0206
2021030410,0.0221,0.0126,0.1164,0.0964
2021030411,0.0102,0.0028,0.0503,0.0142
2021030412,0.0104,0.0035,0.0654,0.0224
2021030413,0.132,0,1.2827,0.0003
2021030414,0.0016,0.001,0.0125,0.0087
2021030415,0.0005,0.0003,0.0039,0.0022
2021030416,0.0042,0.0032,0.0325,0.0299
2021030417,0.0019,0.0014,0.0129,0.0106
2021030418,0.0012,0.0001,0.0162,0.0014
2021030419,0.0163,0.0037,0.1275,0.029
2021030420,0,0,0,0
2021030421,0.0106,0,0.1492,0.0004
2021030422,0.0016,0.0005,0.0107,0.0035
2021030423,0.006,0.003,0.0275,0.0139
2021030500,0.0032,0.0007,0.018,0.0072
2021030501,0.0207,0.0131,0.1175,0.0723
2021030502,0.0087,0.0064,0.0371,0.0356
2021030503,0.0251,0.0156,0.0739,0.0637
2021030504,0.04,0.0311,0.1372,0.1066
2021030505,0.0398,0.029,0.1023,0.101
2021030506,0.0428,0.0334,0.1368,0.1379
2021030507,0.0198,0.0189,0.0628,0.0611
2021030508,0.021,0.0204,0.0972,0.1
2021030509,0.014,0.0142,0.0751,0.0719
2021030510,0.0034,0.003,0.0158,0.0143
2021030511,0.0012,0.0009,0.0086,0.0068
2021030512,0.0014,0.0011,0.0084,0.0071
2021030513,0.0042,0.0031,0.019,0.0145
2021030514,0.0087,0.0096,0.0446,0.0516
2021030515,0.0104,0.0101,0.0559,0.0574
2021030516,0.005,0.0046,0.0253,0.0248
2021030518,0.0061,0.005,0.0424,0.0407
2021030519,0.0035,0.0042,0.0179,0.031
2021030520,0.013,0.0112,0.0501,0.0462
2021030521,0.0251,0.0238,0.0997,0.0999
2021030522,0.0243,0.0219,0.0783,0.0772
2021030523,0.0108,0.0074,0.0431,0.0329
2021030600,0.0223,0.0217,0.1062,0.1063
2021030601,0.0186,0.0177,0.053,0.0499
2021030602,0.0138,0.0134,0.0445,0.0454
2021030603,0.0184,0.0155,0.0526,0.0462
2021030604,0.039,0.0308,0.1071,0.0926
2021030605,0.0292,0.0126,0.0921,0.0425
2021030606,0.0546,0.0165,0.1431,0.0497
2021030607,0.0612,0.0289,0.1411,0.0858
2021030608,0.0787,0.0454,0.1743,0.1271
2021030609,0.2006,0.1201,0.3549,0.2123
2021030610,0.1627,0.1439,0.2789,0.2682
2021030611,0.1595,0.1214,0.3489,0.2352
2021030612,0.089,0.0855,0.2295,0.2264
2021030613,0.0423,0.031,0.1239,0.1038
2021030614,0.139,0.0894,0.4411,0.3026
2021030615,0.1074,0.0695,0.3178,0.202
2021030616,0.1348,0.0872,0.2745,0.1884
2021030617,0.0991,0.0905,0.1986,0.2013
2021030618,0.1034,0.0603,0.2266,0.1636
2021030619,0.1144,0.0953,0.3119,0.3186
2021030620,0.0463,0.0409,0.1101,0.1031
2021030621,0.0836,0.0569,0.3467,0.2074
2021030622,0.0768,0.0719,0.3149,0.3151
2021030623,0.0546,0.0368,0.2501,0.132
2021030700,0.0386,0.0279,0.1208,0.0972
2021030701,0.0376,0.0201,0.0965,0.0702
2021030702,0.2066,0.0656,1.6305,0.185
2021030703,0.0796,0.0629,0.1737,0.1444
2021030704,0.0988,0.071,0.1953,0.1517
2021030705,0.0722,0.061,0.1263,0.1125
2021030706,0.0416,0.0357,0.0847,0.0768
2021030707,0.049,0.0398,0.1049,0.0987
